Fecha;STOXX;DANONE
2017.01;3230.68;57.99
2017.02;3319.61;62.56
2017.03;3500.93;63.76
2017.04;3559.59;64.18
2017.05;3554.59;66.08
2017.06;3441.88;65.81
2017.07;3449.36;63.09
2017.08;3421.47;66.15
2017.09;3594.85;66.37
2017.1;3673.95;70.14
2017.11;3569.93;70.92
2017.12;3503.96;69.95
2018.01;3609.29;69.46
2018.02;3438.96;65.75
2018.03;3361.5;65.73
2018.04;3536.52;67.09
2018.05;3406.65;65.39
2018.06;3395.6;62.87
2018.07;3525.49;67.21
2018.08;3392.9;67.82
2018.09;3399.2;66.7
2018.1;3197.51;62.58
2018.11;3173.13;66.06
2018.12;3001.42;61.51
2019.01;3159.43;63.5
2019.02;3298.26;66.33
2019.03;3351.71;68.69
2019.04;3514.62;72.08
2019.05;3280.43;71.4
2019.06;3473.69;74.5
2019.07;3466.85;78.4
2019.08;3426.76;81.46
2019.09;3569.45;80.82
2019.1;3604.41;74.36
2019.11;3703.58;74.72
2019.12;3745.15;73.9
2020.01;3640.91;72.4
2020.02;3329.49;63.72
2020.03;2786.9;58.64
2020.04;2927.93;63.26
2020.05;3050.2;61.56
2020.06;3234.07;61.56
2020.07;3174.32;56.54
2020.08;3272.51;55.1
2020.09;3193.61;55.22
2020.1;2958.21;47.4
2020.11;3492.54;53.86
2020.12;3552.64;53.76
2021.01;3481.44;54.96
2021.02;3636.44;56.46
2021.03;3919.21;58.5
2021.04;3974.74;58.63
2021.05;4039.46;58.3
2021.06;4064.3;59.37
2021.07;4089.3;62.06
2021.08;4196.41;61.87
2021.09;4048.08;59.05
2021.1;4250.56;56.35
2021.11;4063.06;51.99
2021.12;4298.41;54.59
